Ind	Gene	N	Df	Dist	LogP	Pval	BF	FDR	Y
Samp93	ENSG00000121454.5	762	10	37.6976621667648	-10.0581256709201	4.2836257723809e-05	0.0326412283855424	0.105408298034841	outlier
Samp94	ENSG00000121454.5	762	15	38.9168589489472	-7.32412187758027	0.000659438476945306	0.502492119432323	0.786307112815395	outlier
Samp101	ENSG00000121454.5	762	11	28.5690692303618	-5.93445567210159	0.00264666301503569	1	1	outlier
Samp102	ENSG00000121454.5	762	19	44.3011293911461	-7.06111899784534	0.000857817660599209	0.653657057376597	0.920567022472041	outlier
Samp103	ENSG00000121454.5	762	12	30.4843826026661	-6.04927190942881	0.00235957936870707	1	1	outlier
Samp104	ENSG00000121454.5	762	16	36.4858272011892	-6.00114334913683	0.00247591971705842	1	1	outlier
Samp106	ENSG00000121454.5	762	14	36.3503528627074	-6.98625072969614	0.000924506265765395	0.704473774513231	0.970565770864696	outlier
Samp107	ENSG00000121454.5	762	17	50.8229480407903	-10.3672083644989	3.14469561118404e-05	0.0239625805572224	0.086778773875084	outlier
Samp109	ENSG00000121454.5	762	15	40.2182472493356	-7.77446317066591	0.000420333055914077	0.320293788606527	0.584132916631327	outlier
Samp111	ENSG00000121454.5	762	16	49.6888981044323	-10.5692945519003	2.56929338355769e-05	0.0195780155827096	0.0740750291077147	outlier
Samp112	ENSG00000121454.5	762	11	28.6553964208448	-5.96514625282916	0.00256666919730231	1	1	outlier
Samp121	ENSG00000121454.5	762	11	46.3130162381533	-12.7694411359557	2.84644094313731e-06	0.00216898799867063	0.0159373465989277	outlier
Samp124	ENSG00000121454.5	762	14	36.4840144442223	-7.03254750655353	0.000882680280159024	0.672602373481177	0.936916649616852	outlier
Samp128	ENSG00000121454.5	762	17	46.9132603223021	-8.98194553082838	0.000125658137752842	0.0957515009676658	0.229232554738332	outlier
Samp143	ENSG00000121454.5	762	16	42.911687406145	-8.1520807131355	0.000288135208760162	0.219559029075244	0.439985880399796	outlier
Samp145	ENSG00000121454.5	762	18	56.1087395382318	-11.6676015055208	8.56692666218112e-06	0.00652799811658202	0.03377239841946	outlier
Samp149	ENSG00000121454.5	762	14	46.2666711589183	-10.5824035168528	2.53583240520964e-05	0.0193230429276974	0.0736600207845308	outlier
Samp152	ENSG00000121454.5	762	14	44.4458843370718	-9.90032333450195	5.01584614728205e-05	0.0382207476422892	0.118158043016101	outlier
Samp156	ENSG00000121454.5	762	17	42.5031749305196	-7.47495281635182	0.000567112525444911	0.432139744389022	0.704485049534515	outlier
Samp161	ENSG00000121454.5	762	15	86.8772306172908	-26.30159936371	3.77885763963128e-12	2.87948952139903e-09	1.45990118734931e-06	outlier
Samp168	ENSG00000121454.5	762	19	41.6192521836693	-6.21738856494197	0.00199444679079424	1	1	outlier
Samp179	ENSG00000121454.5	762	15	49.8038626561275	-11.2534352207187	1.29626913757433e-05	0.0098775708283164	0.0455266219086947	outlier
Samp180	ENSG00000121454.5	762	19	40.9868859250815	-6.02268436376038	0.00242315622405369	1	1	outlier
Samp183	ENSG00000121454.5	762	16	37.3697907448284	-6.28735554316237	0.00185967127050869	1	1	outlier
Samp186	ENSG00000121454.5	762	20	53.343292761327	-9.5341049063212	7.23420563023423e-05	0.0551246469023849	0.157012336963534	outlier
Samp187	ENSG00000121454.5	762	18	43.5251897861313	-7.3020126486149	0.000674180520317033	0.513725556481579	0.793955087632142	outlier
Samp192	ENSG00000121454.5	762	13	47.2630945786521	-11.6496429674693	8.72216590338899e-06	0.00664629041838241	0.034037063051716	outlier
Samp194	ENSG00000121454.5	762	13	34.073072189868	-6.74804035313973	0.00117317638104832	0.893960402358821	1	outlier
Samp199	ENSG00000121454.5	762	13	36.5439875837956	-7.62468071502941	0.000488251109880456	0.372047345728908	0.652360543124144	outlier
Samp203	ENSG00000121454.5	762	12	38.0102827790722	-8.78528552600391	0.000152967431383773	0.116561182714435	0.263367463400102	outlier
Samp204	ENSG00000121454.5	762	19	73.3350304774346	-17.4868565343474	2.54422022867107e-08	1.93869581424735e-05	0.000517325672538636	outlier
Samp210	ENSG00000121454.5	762	13	36.5914317898874	-7.64173322795109	0.000479995788551872	0.365756790876527	0.644241760537032	outlier
Samp219	ENSG00000121454.5	762	17	40.5243525236723	-6.82071595831671	0.00109093957534497	0.831295956412869	1	outlier
Samp220	ENSG00000121454.5	762	16	37.1974176381354	-6.2312801331857	0.00196693234893156	1	1	outlier
Samp223	ENSG00000121454.5	762	12	31.9109238334445	-6.55129936727702	0.00142825855964599	1	1	outlier
Samp225	ENSG00000121454.5	762	14	55.2296947712453	-14.0505043245376	7.90575777609518e-07	0.000602418742538452	0.00803753427544725	outlier
Samp226	ENSG00000121454.5	762	16	43.0695017453927	-8.20679246996397	0.000272794315461284	0.207869268381499	0.421558876277679	outlier
Samp230	ENSG00000121454.5	762	16	44.6065501427566	-8.74386294774021	0.000159436800760003	0.121490842179122	0.270484325744805	outlier
Samp236	ENSG00000121454.5	762	19	63.9047496178353	-13.900189083079	9.18807610500098e-07	0.000700131399201075	0.00836233386427183	outlier
Samp237	ENSG00000121454.5	762	13	32.2562334437859	-6.118916910598	0.00220083837734781	1	1	outlier
Samp241	ENSG00000121454.5	762	15	60.6171657292579	-15.4376283982069	1.97480024753889e-07	0.000150479778862463	0.00293435568781803	outlier
Samp253	ENSG00000121454.5	762	18	49.2414312907243	-9.228339280358	9.82162104503726e-05	0.0748407523631839	0.193144716077767	outlier
Samp265	ENSG00000121454.5	762	19	47.1367606438425	-7.98236966985796	0.000341429388207292	0.260169193813956	0.497757665145947	outlier
Samp268	ENSG00000121454.5	762	14	37.8051367519475	-7.49377174262734	0.000556539871660049	0.424083382204957	0.700234073046073	outlier
Samp269	ENSG00000121454.5	762	17	54.1106071506099	-11.5630222961794	9.51137320264732e-06	0.00724766638041726	0.0363818500482332	outlier
Samp275	ENSG00000121454.5	762	14	50.361929134088	-12.1458913663671	5.31014526417006e-06	0.00404633069129759	0.0255100176435032	outlier
Samp281	ENSG00000121454.5	762	16	42.4255385516281	-7.98406077098405	0.000340852484523137	0.259729593206631	0.497757665145947	outlier
Samp288	ENSG00000121454.5	762	17	44.7532166284129	-8.23586812805931	0.000264976841050483	0.201912352880468	0.41278049560644	outlier
Samp293	ENSG00000121454.5	762	18	53.6636355191709	-10.7853052169766	2.07014830159501e-05	0.015774530058154	0.0639814939158727	outlier
Samp294	ENSG00000121454.5	762	16	41.0250343047027	-7.50454730230968	0.00055057503798397	0.419538178943785	0.696761101079409	outlier
Samp296	ENSG00000121454.5	762	13	47.1648693768683	-11.6114147236162	9.06205426435266e-06	0.00690528534943673	0.0350097967216442	outlier
Samp300	ENSG00000121454.5	762	18	43.2595284680541	-7.21518315535725	0.000735335900725974	0.560325956353192	0.840488934529788	outlier
Samp305	ENSG00000121454.5	762	15	34.958493485233	-5.99438326923616	0.00249271383300052	1	1	outlier
Samp306	ENSG00000121454.5	762	18	54.4679295382105	-11.0739446062233	1.55112559661592e-05	0.0118195770462133	0.0521089179341751	outlier
Samp307	ENSG00000121454.5	762	15	48.5138842108914	-10.7707268771925	2.10054868206816e-05	0.0160061809573594	0.0644058233760412	outlier
Samp325	ENSG00000121454.5	762	15	36.0272310180478	-6.34706392220107	0.00175188325808519	1	1	outlier
Samp330	ENSG00000121454.5	762	18	43.5709473469394	-7.31699421428371	0.000664155523162142	0.506086508649552	0.787073189832279	outlier
Samp338	ENSG00000121454.5	762	11	29.6054075057658	-6.30508292806835	0.00182699465332506	1	1	outlier
Samp345	ENSG00000121454.5	762	15	62.9822689116215	-16.3806840478157	7.69058379019931e-08	5.86022484813188e-05	0.00135051545363766	outlier
Samp356	ENSG00000121454.5	762	15	74.4390302130817	-21.0589133238463	7.14875064229187e-10	5.44734798942641e-07	2.76180543063919e-05	outlier
Samp358	ENSG00000121454.5	762	13	32.9687708279048	-6.36398906359985	0.00172248189916356	1	1	outlier
Samp362	ENSG00000121454.5	762	14	37.4051257539835	-7.35343887825137	0.000640386358722544	0.487974405346579	0.772144805717134	outlier
Samp364	ENSG00000121454.5	762	14	33.3026454720367	-5.95030314544207	0.00260505068945516	1	1	outlier
Samp365	ENSG00000121454.5	762	17	41.5044410592687	-7.14292149860782	0.000790439452158759	0.602314862544974	0.885288970853017	outlier
Samp375	ENSG00000121454.5	762	20	49.9286345613472	-8.3916800023031	0.000226746024351353	0.172780470555731	0.360492586715044	outlier
Samp377	ENSG00000121454.5	762	16	40.9703562550038	-7.48596625233157	0.0005609009362093	0.427406513391487	0.701278648186032	outlier
Samp378	ENSG00000121454.5	762	15	48.9571431394066	-10.9361411510302	1.78030431636278e-05	0.0135659188906844	0.0577976544334202	outlier
Samp385	ENSG00000121454.5	762	13	42.9598620432063	-9.99606556619558	4.55789046323756e-05	0.0347311253298702	0.10937068659779	outlier
Samp386	ENSG00000121454.5	762	17	84.5919061555108	-23.5706331005026	5.79968103707207e-11	4.41935695024891e-08	4.94483571143304e-06	outlier
Samp390	ENSG00000121454.5	762	18	41.8955049352604	-6.77351855761392	0.00114366351719601	0.871471600103356	1	outlier
Samp394	ENSG00000121454.5	762	13	33.2773047691309	-6.47078143528509	0.00154801558616214	1	1	outlier
Samp395	ENSG00000121454.5	762	19	43.4861479804578	-6.80174791830241	0.0011118300603014	0.847214505949664	1	outlier
Samp408	ENSG00000121454.5	762	18	39.9766426971743	-6.16458241055225	0.00210259620327614	1	1	outlier
Samp416	ENSG00000121454.5	762	12	32.1612005244711	-6.64026225170823	0.00130668451865108	0.995693603212122	1	outlier
Samp418	ENSG00000121454.5	762	11	33.7242050655269	-7.8210055600592	0.00040121803106227	0.30572813966945	0.563651515681495	outlier
Samp438	ENSG00000121454.5	762	18	44.6229859502598	-7.66351556980916	0.000469653405780104	0.357875895204439	0.636642381995266	outlier
Samp441	ENSG00000121454.5	762	15	38.3695966191396	-7.13658615348156	0.000795463055216651	0.606142848075088	0.886595071631639	outlier
Samp443	ENSG00000121454.5	762	19	51.5312698238037	-9.46217436459849	7.77373777140164e-05	0.0592358818180805	0.163220609140037	outlier
Samp445	ENSG00000121454.5	762	12	34.304684323314	-7.41227654645152	0.000603794562346604	0.460091456508112	0.740528153808295	outlier
Samp448	ENSG00000121454.5	762	16	49.3420800512085	-10.4424993701908	2.91662199265313e-05	0.0222246595840169	0.0816514667325837	outlier
Samp461	ENSG00000121454.5	762	12	34.1379456600916	-7.35159961052218	0.000641565284534108	0.48887274681499	0.772144805717134	outlier
Samp464	ENSG00000121454.5	762	20	42.8899688219468	-6.15923409707287	0.00211387167238616	1	1	outlier
Samp471	ENSG00000121454.5	762	19	49.3683230489653	-8.72640406849784	0.00016224482980477	0.123630560311235	0.271344996007776	outlier
Samp472	ENSG00000121454.5	762	18	54.5744105793236	-11.1122761744163	1.49279363985407e-05	0.011375087535688	0.0510368971733965	outlier
Samp473	ENSG00000121454.5	762	15	45.4154110978253	-9.62845269057962	6.5828828625139e-05	0.0501615674123559	0.143683133774375	outlier
Samp479	ENSG00000121454.5	762	20	54.122566746118	-9.7995606157948	5.54759693426052e-05	0.0422726886390651	0.126524599076618	outlier
Samp480	ENSG00000121454.5	762	13	37.4648836075079	-7.95707155016959	0.000350177093446806	0.266834945206466	0.502919394868693	outlier
Samp481	ENSG00000121454.5	762	17	54.7355539962699	-11.7932429799055	7.55543806923422e-06	0.00575724380875647	0.0310523682025482	outlier
Samp487	ENSG00000121454.5	762	14	36.0074946477775	-6.86781092838736	0.00104075285530345	0.793053675741229	1	outlier
Samp491	ENSG00000121454.5	762	16	48.964197485414	-10.30469826459	3.34754486281621e-05	0.0255082918546595	0.0904384893028838	outlier
Samp494	ENSG00000121454.5	762	16	53.3630911353708	-11.9305218707927	6.58627993213866e-06	0.00501874530828966	0.029065756318234	outlier
Samp498	ENSG00000121454.5	762	13	49.7483237415675	-12.6237380396785	3.29291278569292e-06	0.00250919954269801	0.0174269064129848	outlier
Samp500	ENSG00000121454.5	762	16	42.6233010146188	-8.05231491282312	0.000318364083694699	0.24259343177536	0.474883667606594	outlier
Samp513	ENSG00000121454.5	762	12	60.6934438210849	-17.8978495886925	1.68679647858871e-08	1.2853389166846e-05	0.000383333429858289	outlier
Samp517	ENSG00000121454.5	762	16	41.1466060723368	-7.54589900133891	0.000528272134206959	0.402543366265703	0.684565315847392	outlier
Samp520	ENSG00000121454.5	762	19	83.5375282722933	-21.5144409898262	4.5331177151774e-10	3.45423569896518e-07	1.94588611041705e-05	outlier
Samp527	ENSG00000121454.5	762	18	53.1731350839348	-10.6100657597006	2.46664691794058e-05	0.0187958495147073	0.0721931492723983	outlier
Samp529	ENSG00000121454.5	762	16	40.5300853097455	-7.3367444899681	0.00065116695459255	0.496189219399523	0.778848093608539	outlier
Samp530	ENSG00000121454.5	762	15	39.3762704880663	-7.482406028665	0.00056290142798302	0.428930888123061	0.701509549285136	outlier
Samp535	ENSG00000121454.5	762	17	38.8852640472384	-6.29032488371049	0.00185415746343572	1	1	outlier
Samp545	ENSG00000121454.5	762	17	42.704382166139	-7.54228233089019	0.000530186179572924	0.404001868834568	0.684565315847392	outlier
Samp567	ENSG00000121454.5	762	13	72.6710930668596	-22.0789749862844	2.57764436143326e-10	1.96416500341215e-07	1.24478957091245e-05	outlier
Samp570	ENSG00000121454.5	762	15	37.7438872049872	-6.92355661797678	0.000984322847199256	0.750054009565833	1	outlier
Samp579	ENSG00000121454.5	762	15	35.8968941881399	-6.30378958867367	0.0018293591061745	1	1	outlier
Samp581	ENSG00000121454.5	762	18	44.3878581017202	-7.58572844746384	0.000507644860959776	0.386825384051349	0.664815151572997	outlier
Samp584	ENSG00000121454.5	762	13	47.6380732910293	-11.7957759103896	7.53632488622839e-06	0.00574267956330604	0.0310523682025482	outlier
Samp589	ENSG00000121454.5	762	16	36.337239058679	-5.95336776723282	0.00259707941505564	1	1	outlier
Samp598	ENSG00000121454.5	762	15	36.4475511436525	-6.48710492353604	0.00152295169354098	1	1	outlier
Samp601	ENSG00000121454.5	762	13	40.3865567606743	-9.03003314154581	0.000119758524123631	0.0912559953822072	0.22233543541863	outlier
Samp602	ENSG00000121454.5	762	18	62.32630136956	-13.9705554444357	8.56376736890931e-07	0.00065255907351089	0.00827118625675053	outlier
Samp608	ENSG00000121454.5	762	20	45.2906944044995	-6.90021802714452	0.00100756572842035	0.767765085056304	1	outlier
Samp610	ENSG00000121454.5	762	10	38.3312558734089	-10.3121021802549	3.3228514497449e-05	0.0253201280470561	0.0904035557736441	outlier
Samp614	ENSG00000121454.5	762	14	34.5578907825942	-6.37225423837519	0.00170830395751398	1	1	outlier
Samp620	ENSG00000121454.5	762	20	45.4928810541135	-6.96364508179869	0.000945643337381263	0.720580223084522	0.984728229390439	outlier
Samp625	ENSG00000121454.5	762	15	55.1883824002511	-13.3085273923392	1.66027485775855e-06	0.00126512944161201	0.0123133583850243	outlier
Samp632	ENSG00000121454.5	762	15	36.0182052220447	-6.34406486615693	0.00175714514055526	1	1	outlier
Samp634	ENSG00000121454.5	762	16	38.905068555499	-6.79223640886494	0.00112245569521896	0.855311239756845	1	outlier
Samp635	ENSG00000121454.5	762	16	41.1538782053232	-7.54837423560106	0.000526966153891033	0.401548209264967	0.684565315847392	outlier
Samp644	ENSG00000121454.5	762	15	35.8054928235044	-6.27348563808227	0.0018856444408349	1	1	outlier
Samp648	ENSG00000121454.5	762	16	39.1494286967491	-6.87346952262693	0.00103488028809889	0.788578779531354	1	outlier
Samp649	ENSG00000121454.5	762	14	36.6235920999355	-7.08096672365638	0.000840959779577481	0.64081135203804	0.916779534514749	outlier
Samp651	ENSG00000121454.5	762	15	56.6775138181387	-13.8872751640631	9.30749962891407e-07	0.000709231471723252	0.00836233386427183	outlier
Samp652	ENSG00000121454.5	762	14	35.8618739481019	-6.81764596009945	0.00109429390415364	0.833851954965071	1	outlier
Samp656	ENSG00000121454.5	762	20	46.5353244251241	-7.29306756793065	0.000680238172167708	0.518341487191793	0.793955087632142	outlier
Samp668	ENSG00000121454.5	762	14	41.1940925551171	-8.70481030361357	0.000165786406888734	0.126329242049216	0.276072955685139	outlier
Samp675	ENSG00000121454.5	762	17	42.5846079262508	-7.50218513741453	0.00055187712427666	0.420530368698815	0.696761101079409	outlier
Samp676	ENSG00000121454.5	762	18	59.8835002009906	-13.0562505970935	2.13669439780215e-06	0.00162816113112524	0.0140828280072055	outlier
Samp681	ENSG00000121454.5	762	20	63.6957045775202	-13.1842095662386	1.88005492478397e-06	0.00143260185268538	0.013205984351118	outlier
Samp685	ENSG00000121454.5	762	17	58.5894598250374	-13.2317695844524	1.79273246650909e-06	0.00136606213947993	0.0128258056428949	outlier
Samp694	ENSG00000121454.5	762	13	35.624494521658	-7.29578937315484	0.0006783892137508	0.51693258087811	0.793955087632142	outlier
Samp695	ENSG00000121454.5	762	14	67.8860232464969	-19.1867216199329	4.64849828051887e-09	3.54215568975538e-06	0.000128276638193284	outlier
Samp697	ENSG00000121454.5	762	14	37.46329248452	-7.37380880319143	0.000627473698114972	0.478134957963609	0.762309508451414	outlier
Samp699	ENSG00000121454.5	762	16	54.2092794731228	-12.2484069673123	4.79274631549797e-06	0.00365207269240945	0.0234379855069822	outlier
Samp704	ENSG00000121454.5	762	16	38.6538843856597	-6.70898017523445	0.00121990758240366	0.929569577791592	1	outlier
Samp705	ENSG00000121454.5	762	17	41.8230845625697	-7.24845745171248	0.000711270712478583	0.54198828290868	0.817821605460419	outlier
Samp707	ENSG00000121454.5	762	18	40.5794367290355	-6.35425504440111	0.00173933044001492	1	1	outlier
Samp712	ENSG00000121454.5	762	15	37.1342051861058	-6.71744883804975	0.00120962021801516	0.921730606127556	1	outlier
Samp716	ENSG00000121454.5	762	21	47.3138709494395	-7.06799533499283	0.000851939251278928	0.649177709474543	0.916805288867949	outlier
Samp717	ENSG00000121454.5	762	16	51.5118863135098	-11.2406864231096	1.31290080205442e-05	0.0100043041116546	0.0456953349964766	outlier
Samp718	ENSG00000121454.5	762	13	36.5357883315624	-7.62173452593828	0.000489691711073842	0.373145083838268	0.652360543124144	outlier
Samp720	ENSG00000121454.5	762	18	41.0436550727028	-6.50134745885062	0.001501414734774	1	1	outlier
Samp722	ENSG00000121454.5	762	17	55.1926189330941	-11.9621779981802	6.38104935657424e-06	0.00486235960970957	0.0289079141268958	outlier
Samp726	ENSG00000121454.5	762	15	48.826450077307	-10.8873195583964	1.86937828294638e-05	0.0142446625160514	0.0587158040295778	outlier
Samp727	ENSG00000121454.5	762	16	54.8986976041084	-12.5085402324082	3.69496220461431e-06	0.0028155611999161	0.0187827569520719	outlier
Samp738	ENSG00000121454.5	762	16	40.8356138805525	-7.44022316132494	0.000587154152825788	0.447411464453251	0.724720806638332	outlier
Samp740	ENSG00000121454.5	762	14	34.2930573500105	-6.28266082899983	0.00186842242156323	1	1	outlier
Samp746	ENSG00000121454.5	762	12	35.1144123328128	-7.70835844579561	0.000449058025516532	0.342182215443598	0.61738926416336	outlier
Samp750	ENSG00000121454.5	762	15	36.5960519188815	-6.53675756791442	0.00144917975630852	1	1	outlier
Samp752	ENSG00000121454.5	762	13	46.5714940522468	-11.3809366354111	1.14109557265546e-05	0.00869514826363461	0.0412003754174088	outlier
Samp759	ENSG00000121454.5	762	13	41.1955136609794	-9.33171738961025	8.85699972129264e-05	0.0674903378762499	0.180092638438204	outlier
Samp760	ENSG00000121454.5	762	11	43.9501913900828	-11.812106596523	7.41425101791756e-06	0.00564965927565318	0.0310523682025482	outlier
Samp762	ENSG00000121454.5	762	19	57.9495062279995	-11.7200777371891	8.12895859106656e-06	0.00619426644639272	0.0325535260924612	outlier
Samp6	ENSG00000149016.15	762	13	38.139358647405	-8.20234531378692	0.000274010175943219	0.208795754068733	0.421750786106963	outlier
Samp8	ENSG00000149016.15	762	13	37.3343959920452	-7.90979560401608	0.000367129612745124	0.279752764911785	0.521623351440686	outlier
Samp9	ENSG00000149016.15	762	18	48.0295982476763	-8.81126255951552	0.000149044958964541	0.11357225873098	0.260548122971071	outlier
Samp15	ENSG00000149016.15	762	15	40.5136496749217	-7.87751790653138	0.000379173032653884	0.288929850882259	0.534625672982867	outlier
Samp18	ENSG00000149016.15	762	17	47.5465317668397	-9.20338448582223	0.00010069801345204	0.0767318862504547	0.193630067127339	outlier
Samp21	ENSG00000149016.15	762	16	36.91973311398	-6.14121252941197	0.00215231229350387	1	1	outlier
Samp30	ENSG00000149016.15	762	14	33.4132878177343	-5.98721638745291	0.00251064298969134	1	1	outlier
Samp34	ENSG00000149016.15	762	15	43.877674780543	-9.07128582375755	0.00011491867843859	0.0875680329702053	0.215519382115991	outlier
Samp42	ENSG00000149016.15	762	17	38.4801202723822	-6.16093155182315	0.00211028651455683	1	1	outlier
Samp43	ENSG00000149016.15	762	17	46.0369780975684	-8.6775223971148	0.000170372660909192	0.129823967612804	0.282129670184376	outlier
Samp45	ENSG00000149016.15	762	16	39.1157637996958	-6.86226434930162	0.00104654151210503	0.797464632224036	1	outlier
Samp50	ENSG00000149016.15	762	19	41.0133911360647	-6.03081126061178	0.00240354328746922	1	1	outlier
Samp52	ENSG00000149016.15	762	20	79.7838636166134	-19.2712129964445	4.27187499817044e-09	3.25516874860587e-06	0.000126951581195629	outlier
Samp55	ENSG00000149016.15	762	14	33.5587840917014	-6.03584142473216	0.0023914834272297	1	1	outlier
Samp59	ENSG00000149016.15	762	12	48.776937906146	-12.9877768643959	2.28812726221549e-06	0.0017435529738082	0.0144914976675534	outlier
Samp64	ENSG00000149016.15	762	19	52.5280272889809	-9.80577689579174	5.51321848215376e-05	0.0420107248340117	0.126524599076618	outlier
Samp70	ENSG00000149016.15	762	10	35.3990787783996	-9.14530990889003	0.000106719153383666	0.0813199948783534	0.203099691641996	outlier
Samp71	ENSG00000149016.15	762	21	46.6992262984029	-6.87754121846957	0.00103067513718961	0.785374454538482	1	outlier
Samp73	ENSG00000149016.15	762	18	39.7909487277876	-6.10646077505726	0.0022284237654787	1	1	outlier
Samp76	ENSG00000149016.15	762	17	48.1946242161449	-9.43122132549285	8.01812127522828e-05	0.0610980841172395	0.167441776472651	outlier
Samp78	ENSG00000149016.15	762	17	44.8609004075101	-8.27271162010167	0.000255391825865878	0.194608571309799	0.399459699004324	outlier
Samp79	ENSG00000149016.15	762	12	52.4786188400558	-14.4890486916354	5.0990128354736e-07	0.000388544778063088	0.00551402490754449	outlier
Samp86	ENSG00000149016.15	762	16	37.9048100853667	-6.46220140448404	0.00156135475096208	1	1	outlier
Samp88	ENSG00000149016.15	762	16	38.4707213861945	-6.6484283721417	0.00129605742562004	0.987595758322471	1	outlier
Samp94	ENSG00000149016.15	762	13	32.1968471558466	-6.09859146637658	0.0022460291000143	1	1	outlier
Samp96	ENSG00000149016.15	762	21	52.5423630856622	-8.74106349027106	0.000159883762636228	0.121831427128806	0.270484325744805	outlier
Samp113	ENSG00000149016.15	762	15	41.1906914925242	-8.11483420024763	0.000299069610615277	0.227891043288841	0.454884877745836	outlier
Samp116	ENSG00000149016.15	762	19	44.9638672594399	-7.27386751840903	0.000693424967220902	0.528389825022327	0.806908558091325	outlier
Samp129	ENSG00000149016.15	762	15	37.13874775126	-6.71897903642555	0.00120777067456731	0.920321254020288	1	outlier
Samp133	ENSG00000149016.15	762	14	34.5924400450435	-6.38396425473213	0.00168841635953356	1	1	outlier
Samp136	ENSG00000149016.15	762	17	49.2746194477452	-9.81354433769626	5.47056076303689e-05	0.0416856730143411	0.126524599076618	outlier
Samp137	ENSG00000149016.15	762	18	39.9023948943912	-6.14132549818594	0.00215206916315621	1	1	outlier
Samp139	ENSG00000149016.15	762	19	54.4294738610938	-10.4687214758396	2.84113604811807e-05	0.0216494566866597	0.0805416093890312	outlier
Samp145	ENSG00000149016.15	762	15	41.3966418036623	-8.18732835298408	0.00027815602714714	0.211954892686121	0.42643305790422	outlier
Samp150	ENSG00000149016.15	762	19	57.1764267262747	-11.442706693396	1.07274284122491e-05	0.0081743004501338	0.0390978332850739	outlier
Samp151	ENSG00000149016.15	762	15	36.0115685358934	-6.34185987382015	0.00176102390687826	1	1	outlier
Samp164	ENSG00000149016.15	762	13	32.1962322141796	-6.09838107920252	0.00224650168544071	1	1	outlier
Samp172	ENSG00000149016.15	762	18	46.5929890275942	-8.32264772661485	0.000242951742078617	0.185129227463906	0.383104156425307	outlier
Samp190	ENSG00000149016.15	762	18	39.4672274131683	-6.0054896224998	0.00246518204447646	1	1	outlier
Samp194	ENSG00000149016.15	762	12	39.2893462476579	-9.2692148543051	9.42825102941614e-05	0.071843272844151	0.188110031168133	outlier
Samp196	ENSG00000149016.15	762	17	49.0074824536517	-9.71867389763258	6.01497123580349e-05	0.0458340808168226	0.132787879852166	outlier
Samp198	ENSG00000149016.15	762	13	33.6192691802794	-6.58960973104449	0.00137457631341617	1	1	outlier
Samp202	ENSG00000149016.15	762	16	45.0744480664398	-8.90882241358472	0.000135190939303821	0.103015495749512	0.240098562631355	outlier
Samp203	ENSG00000149016.15	762	20	55.2230873046828	-10.1772687699999	3.80249220419468e-05	0.0289749905959635	0.0981641220439345	outlier
Samp209	ENSG00000149016.15	762	14	36.589498931831	-7.06913298762497	0.000850970591450962	0.648439590685633	0.916805288867949	outlier
Samp213	ENSG00000149016.15	762	13	33.4299892603879	-6.52377747992252	0.00146811284783438	1	1	outlier
Samp219	ENSG00000149016.15	762	14	35.4715315005671	-6.68359280184078	0.00125127430638553	0.953471021465773	1	outlier
